Player,From,To,Price
Nicky Hogarth,Nottingham,Falkirk,Free
Roco Rees,Brentford,Worthing FC,Free
Dujon Sterling,Chelsea,Rangers,Free
Josh Neufville,Luton,Wimbledon,Free
Josh Williams,Luton,Hemel Hempstead Town,Free
Lachlan Brook,Brentford,West Sydney,Free
Lewis Salmon,Nottingham,Alfreton Town,Free
Joseph Peter,Burnley,Hamilton,Free
Joel Coleman,Ipswich Town,Bolton Wanderers,Free
Niels Nkounkou,Everton,Saint-Etienne,€2M
Jack Stacey,B'mouth,Norwich,Free
Mark Flekken,SC Freiburg,Brentford,€13M
Michael Obafemi,Swansea,Burnley,€4M
Ashley Barnes,Burnley,Norwich,Free
Chris Wood,Newcastle Utd.,Nottingham,€17M
Jordan Beyer,Gladbach,Burnley,€15M
Alex Matos,Norwich,Chelsea,Free
Hamed Junior,Sassuolo,B'mouth,€25.6M
Pablo Marí,Arsenal,Monza,€6.2M
Arthur Masuaku,West Ham United,Besiktas,€2M
Jordan Zemura,B'mouth,Udinese,Free
Sylvester Jasper,Fulham,Portimonense,Free
Pedro Porro,Sporting CP,Tottenham,€40M
Boubacar Traoré,Metz,Wolverhampton,€11M
Moise Kean,Everton,Juventus,€30M
